City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,aasiaat,68.7098,-52.8699,-7.97,78,3,4.21,GL,1696293646
126,lihue,21.9789,-159.3672,28.58,69,0,4.63,US,1696293646
127,san-pedro,4.7485,-6.6363,24.35,93,94,3.18,CI,1696293646
128,la'ie,21.6477,-157.9253,30.98,71,15,3.81,US,1696293647
129,altamira,-3.2033,-52.2064,26.64,67,54,1.91,BR,1696293647
130,la ronge,55.1001,-105.2842,7.14,93,100,4.12,CA,1696293647
131,haiku-pauwela,20.9219,-156.3051,32.01,46,40,8.75,US,1696293647
132,hilo,19.7297,-155.09,26.16,83,100,6.69,US,1696293647
133,port elizabeth,-33.918,25.5701,12.16,94,0,2.06,ZA,1696293648
134,lompoc,34.6391,-120.4579,23.34,75,40,9.83,US,1696293648
135,likiep,9.8251,169.3107,28.8,78,95,7.02,MH,1696293648
136,sovetskaya gavan',48.9723,140.2878,10.06,83,87,7.07,RU,1696293649
137,puerto ayora,-0.7393,-90.3518,23.08,97,73,2.68,EC,1696293611
138,tura,25.5198,90.2201,23.49,97,35,1.75,IN,1696293620
139,port macquarie,-31.4333,152.9167,27.16,47,0,7.49,AU,1696293436
140,karabash,55.4808,60.2157,13.0,79,100,1.71,RU,1696293649
141,el abiodh sidi cheikh,32.893,0.5484,20.52,39,0,1.69,DZ,1696293650
142,thunder bay,48.4001,-89.3168,25.99,50,75,3.09,CA,1696293650
143,sittwe,20.15,92.9,25.08,94,99,6.76,MM,1696293650
144,beyneu,45.3167,55.2,14.9,61,11,5.02,KZ,1696293650
145,walvis bay,-22.9575,14.5053,12.83,100,6,3.09,NA,1696293650
146,taulaga,-11.0553,-171.0883,27.94,76,41,6.71,AS,1696293651
147,ar ruways,24.1103,52.7306,30.65,62,0,3.11,AE,1696293651
148,airuk,7.2772,168.8203,28.7,73,34,3.28,MH,1696293651
149,vilyuysk,63.7553,121.6247,-0.56,77,45,2.24,RU,1696293651
150,uliastay,47.7417,96.8444,2.52,71,5,1.03,MN,1696293652
151,gujrat,32.5728,74.079,21.98,37,0,0.31,PK,1696293652
152,saint-paul,-21.0096,55.2707,22.06,84,6,0.45,RE,1696293451
153,liberty,31.8335,-81.5004,22.14,88,0,1.54,US,1696293652
154,paita,-5.0892,-81.1144,20.51,79,84,7.95,PE,1696293652
155,fortuna,40.5982,-124.1573,17.19,78,0,6.17,US,1696293653
156,salalah,17.0151,54.0924,25.05,65,20,2.57,OM,1696293653
157,ha tinh,18.3333,105.9,27.08,82,89,1.08,VN,1696293653
158,maych'ew,12.7875,39.5422,13.37,58,0,2.58,ET,1696293653
159,mamuju,-2.6748,118.8885,28.88,75,71,1.03,ID,1696293653
160,alta,69.9689,23.2717,1.59,87,100,1.03,NO,1696293654
161,smithers,54.7804,-127.1743,11.18,82,75,2.57,CA,1696293610
162,woodlake,37.4211,-77.6793,20.87,90,0,0.0,US,1696293654
163,lae,-6.7221,146.9847,28.37,75,47,2.0,PG,1696293654
164,whitehorse,60.7161,-135.0538,11.43,64,40,7.2,CA,1696293655
165,talnakh,69.4865,88.3972,0.67,96,100,7.51,RU,1696293655
166,labuan,5.2767,115.2417,29.2,83,20,1.54,MY,1696293655
167,invercargill,-46.4,168.35,13.9,54,7,4.02,NZ,1696293655
168,al ghayzah,16.2079,52.176,25.2,81,0,1.66,YE,1696293656
169,askoy,60.4092,5.226,12.16,100,75,5.14,NO,1696293656
170,avarua,-21.2078,-159.775,24.03,64,75,4.12,CK,1696293656
171,nar'yan-mar,67.6713,53.087,3.95,78,77,9.39,RU,1696293656
172,fredericton,45.9454,-66.6656,12.47,89,0,2.06,CA,1696293656
173,ninghai,29.2892,121.4247,24.54,71,0,1.7,CN,1696293657
174,happy valley-goose bay,53.3168,-60.3315,8.17,57,75,3.09,CA,1696293657
175,ust'-ilimsk,58.0006,102.6619,-0.87,94,100,3.13,RU,1696293657
176,chakari,-18.0629,29.8925,15.61,72,0,3.96,ZW,1696293657
177,carmo do paranaiba,-19.0008,-46.3161,20.97,87,97,1.59,BR,1696293658
178,kavaratti,10.5669,72.642,27.69,74,100,2.8,IN,1696293658
179,pacific grove,36.6177,-121.9166,20.77,79,0,3.13,US,1696293420
180,bikaner,28.0167,73.3,27.83,25,0,3.95,IN,1696293561
181,betong,5.7743,101.0723,24.45,93,100,0.44,TH,1696293659
182,konarka,19.9,86.1167,27.22,90,100,4.79,IN,1696293659
183,ishigaki,24.3448,124.1572,29.07,94,75,9.26,JP,1696293659
184,el calafate,-50.3408,-72.2768,5.33,77,3,2.87,AR,1696293659
185,nagqu,31.5,92.0,4.0,81,14,1.87,CN,1696293660
186,sitka,57.0531,-135.33,11.94,87,100,4.63,US,1696293660
187,glasgow,55.8652,-4.2576,13.84,85,85,2.06,GB,1696293660
188,mili,6.0815,171.735,28.62,75,8,2.84,MH,1696293660
189,island harbour,50.724,-1.2758,17.74,88,100,2.68,GB,1696293660
190,shingu,33.7333,135.9833,23.74,42,17,1.7,JP,1696293661
191,maseru,-29.3167,27.4833,13.49,42,0,2.32,LS,1696293661
192,margate,51.3813,1.3862,19.27,82,100,1.34,GB,1696293661
193,pisco,-13.7,-76.2167,18.34,88,0,7.2,PE,1696293626
194,mangai,-4.05,19.5333,22.7,94,98,0.36,CD,1696293662
195,isafjordur,66.0755,-23.124,1.29,94,100,7.41,IS,1696293662
196,hithadhoo,-0.6,73.0833,27.7,74,100,5.62,MV,1696293662
197,gambela,8.25,34.5833,21.1,92,100,2.35,ET,1696293663
198,osorno,-40.5667,-73.15,9.17,71,100,2.57,CL,1696293663
199,wailua homesteads,22.0669,-159.378,28.24,75,0,4.63,US,1696293663
200,ebon,4.582,168.6964,29.04,72,2,2.18,MH,1696293663
201,hammerfest,70.6634,23.6821,0.25,93,75,1.54,NO,1696293664
202,auki,-8.7676,160.7034,29.4,73,89,2.9,SB,1696293664
203,plastun,44.7561,136.2939,13.38,66,0,2.24,RU,1696293664
204,touros,-5.1989,-35.4608,25.11,83,15,5.81,BR,1696293664
205,gizo,-8.103,156.8419,27.86,83,88,6.48,SB,1696293664
206,lazaro cardenas,17.9583,-102.2,27.54,86,100,0.81,MX,1696293665
207,vuktyl,63.8567,57.3094,5.06,81,54,4.47,RU,1696293665
208,diapaga,12.0708,1.7889,25.86,79,49,1.39,BF,1696293665
209,badger,64.8,-147.5333,4.64,75,75,4.12,US,1696293665
210,ghadamis,30.1337,9.5007,23.4,33,0,5.3,LY,1696293666
211,necochea,-38.5473,-58.7368,9.79,93,100,4.86,AR,1696293666
212,dudinka,69.4058,86.1778,0.9,96,100,10.28,RU,1696293666
